,url,address,neighborhood,rent,beds,baths
3776,https://www.renthop.com/listings/john-street/2709/15477640,John Street,"Financial District, Downtown Manhattan, Manhattan","$3,508",Studio,1_Bath
3777,https://www.renthop.com/listings/mott-street/1rn/15668066, Mott Street,"NoLita, Downtown Manhattan, Manhattan","$4,990",1_Bed,1_Bath
3778,https://www.renthop.com/listings/300-east-56th-street/17b/15716261,"300 East 56th Street, Apt 17B","Sutton Place, Midtown East, Midtown Manhattan, Manhattan","$5,795",1_Bed,1_Bath
3779,https://www.renthop.com/listings/broadway/c21b/15699855,Broadway,"Manhattanville, West Harlem, Upper Manhattan, Manhattan","$2,050",Studio,1_Bath
3780,https://www.renthop.com/listings/broadway/c21b/15699855,Broadway,"Manhattanville, West Harlem, Upper Manhattan, Manhattan","$2,050",Studio,1_Bath
3781,https://www.renthop.com/listings/86-amity-street/3f/11515590,"86 Amity Street, Apt 3F","Cobble Hill, South Brooklyn, Brooklyn","$3,550",1_Bed,1.5_Bath
3782,https://www.renthop.com/listings/285-troutman-st/1b/14011284,"285 Troutman St, Apt 1B","Bushwick, Northern Brooklyn, Brooklyn","$4,216",4_Bed,2_Bath
3783,https://www.renthop.com/listings/1092-nostrand-ave/na/15776680,1092 Nostrand Ave,"Prospect Lefferts Gardens, Flatbush, Central Brooklyn, Brooklyn","$3,300",4_Bed,2_Bath
3784,https://www.renthop.com/listings/market-street/1/15697073,"13 Market Street, Apt 1","Two Bridges, Downtown Manhattan, Manhattan","$2,150",Studio,1_Bath
3785,https://www.renthop.com/listings/611-west-145-street/2r/15711441,"611 West 145 Street, Apt 2R","Hamilton Heights, West Harlem, Upper Manhattan, Manhattan","$2,195",1_Bed,2_Bath
3786,https://www.renthop.com/listings/park-avenue/7-a/14452351,Park Avenue,"Murray Hill, Midtown Manhattan, Manhattan","$2,725",Studio,1_Bath
3787,https://www.renthop.com/listings/first-avenue/32w/15703424,First Avenue,"Murray Hill, Midtown Manhattan, Manhattan","$4,525",1_Bed,1_Bath
3788,https://www.renthop.com/listings/30-west-88th-st/na/15651237,30 West 88th St,"Upper West Side, Upper Manhattan, Manhattan","$4,350",2_Bed,1_Bath
3789,https://www.renthop.com/listings/east-63rd-street/4l/13363268,East 63rd Street,"Upper East Side, Upper Manhattan, Manhattan","$3,950",1_Bed,1_Bath
3790,https://www.renthop.com/listings/east-83rd-street/2fw/15765637,East 83rd Street,"Yorkville, Upper East Side, Upper Manhattan, Manhattan","$2,750",1_Bed,1_Bath
3791,https://www.renthop.com/listings/116-street-5th-ave/1/15775053,"4 E 116 Street, Apt #1","East Harlem, Upper Manhattan, Manhattan","$3,500",2_Bed,2_Bath
3792,https://www.renthop.com/listings/battery-place/319/15505852,Battery Place,"Battery Park City, Downtown Manhattan, Manhattan","$3,825",1_Bed,1_Bath
