,neighborhood,rent,beds,baths
288,"NoMad, Midtown Manhattan, Manhattan",4947,1,1.0
289,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",3395,1,1.0
290,"Long Island City, Northwestern Queens, Queens",3249,1,1.0
291,"East Harlem, Upper Manhattan, Manhattan",4895,4,2.0
292,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",6995,4,2.0
293,"Greenwich Village, Downtown Manhattan, Manhattan",5400,2,1.0
294,"West Village, Downtown Manhattan, Manhattan",3500,1,1.0
295,"Alphabet City, East Village, Downtown Manhattan, Manhattan",3195,1,1.0
296,"Hell's Kitchen, Midtown Manhattan, Manhattan",3118,0,1.0
297,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",1999,1,1.0
298,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",3900,2,1.0
299,"Hunters Point, Long Island City, Northwestern Queens, Queens",5500,2,2.0
300,"Kips Bay, Midtown Manhattan, Manhattan",4500,3,1.0
301,"Murray Hill, Midtown Manhattan, Manhattan",3495,1,1.0
302,"Upper West Side, Upper Manhattan, Manhattan",3195,1,1.0
303,"Battery Park City, Downtown Manhattan, Manhattan",4500,1,1.0
304,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",3495,2,1.0
305,"Hell's Kitchen, Midtown Manhattan, Manhattan",6195,4,2.0
306,"Upper East Side, Upper Manhattan, Manhattan",5695,2,2.0
307,"Astoria, Northwestern Queens, Queens",2400,2,1.0
308,"West Village, Downtown Manhattan, Manhattan",4500,2,1.0
309,"East Harlem, Upper Manhattan, Manhattan",4895,4,2.0
310,"Financial District, Downtown Manhattan, Manhattan",7250,2,1.0
311,"Financial District, Downtown Manhattan, Manhattan",4030,0,1.0
312,"Murray Hill, Midtown Manhattan, Manhattan",3395,2,1.0
313,"Alphabet City, East Village, Downtown Manhattan, Manhattan",2225,0,1.0
314,"Alphabet City, East Village, Downtown Manhattan, Manhattan",5995,3,2.0
315,"Gramercy Park, Midtown Manhattan, Manhattan",4695,3,1.0
316,"Hell's Kitchen, Midtown Manhattan, Manhattan",4275,2,2.0
317,"East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn",2500,1,1.0
318,"Upper East Side, Upper Manhattan, Manhattan",3295,1,1.0
319,"Astoria, Northwestern Queens, Queens",1800,0,1.0
320,"Theater District, Midtown Manhattan, Manhattan",3595,1,1.0
321,"Hell's Kitchen, Midtown Manhattan, Manhattan",3295,1,1.0
322,"Hell's Kitchen, Midtown Manhattan, Manhattan",1925,0,1.0
323,"West Village, Downtown Manhattan, Manhattan",3600,1,1.0
324,"Hell's Kitchen, Midtown Manhattan, Manhattan",3095,1,1.0
325,"Hell's Kitchen, Midtown Manhattan, Manhattan",2800,0,1.0
326,"Hamilton Heights, West Harlem, Upper Manhattan, Manhattan",2250,2,1.0
